447,137
256,576
990,279
191,926
626,803
199,133
929,393
717,716
440,675
999,99
58,635
877,741
966,544
171,377
126,961
345,158
916,100
138,596
558,443
500,966
828,811
627,219
179,570
264,53
60,990
490,421
265,277
628,196
45,729
982,843
365,159
613,410
482,232
149,949
191,590
461,816
442,394
823,495
133,129
403,495
472,771
880,311
419,925
441,911
594,776
485,386
179,849
981,194
196,102
445,433
875,978
550,46
287,182
267,401
243,564
590,850
595,543
529,389
945,271
243,769
361,884
208,678
302,845
169,151
546,706
830,729
796,541
499,638
538,58
866,540
668,702
977,754
431,842
966,295
307,756
855,303
659,452
36,936
77,276
897,33
313,744
339,370
195,463
511,842
235,760
256,968
886,986
37,440
547,610
314,796
435,360
634,682
426,246
49,986
128,540
951,544
833,420
135,910
816,227
22,291
346,729
347,655
54,65
657,911
562,335
727,121
281,426
687,453
102,831
534,906
669,331
682,975
113,16
628,430
352,202
723,866
716,118
207,653
541,838
255,782
521,366
183,806
152,688
893,940
73,998
232,54
819,525
98,769
550,26
294,252
586,700
302,240
597,493
235,576
132,395
584,119
902,855
897,137
59,425
348,679
607,127
773,880
627,1
919,6
105,353
876,80
390,819
104,45
962,240
161,745
